"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"SR-EMB-001","Admin Embedded App Loads — Sales Reps Tab Renders with Columns","Backend > Sales Rep > Admin > App","Critical","PROPOSED-BL-SR-ADMIN-GRID","","Admin logged in to Backend at {{BACK_URL}} as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. SalesRep module installed with the embedded micro-frontend registered (iframe app at /apps/vc-sales-rep, workspace route /#!/workspace/embedded-app/vc-sales-rep). SR_REP_PRIMARY and SR_REP_BLOCKED already exist as seeded reps so the grid renders non-empty on first load. DOM-VERIFIED (2026-07-17, SalesRep 3.1000.0-pr-2-8c40): the default active tab on load is DASHBOARD, not Sales Reps; the Sales Reps grid's Organizations column header reads ""Organizations"" (not ""Organizations (count)""); the search input's placeholder reads ""Search by name or email"". A pre-existing PLATFORM console 500 (Orders dashboardStatistics) and other-apps logo.svg 404s are known environment noise on this build — NOT attributable to the sales-rep app.","back_url={{BACK_URL}}, admin_email={{ADMIN_EMAIL}}, admin_password={{ADMIN_PASSWORD}}","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[WAIT] embedded app iframe loads, Dashboard tab active by default
[ACT] click the 'Sales Reps' tab
[WAIT] grid finishes loading (no spinner)","[DOM] the embedded app loads with Dashboard as the default active tab {OBSERVED}
[DOM] tab strip shows Dashboard, Sales Reps, Blocked Sales Reps, Not assigned Sales Reps, Organizations, Not assigned Organizations {OBSERVED}
[GRID] Sales Reps grid column header reads ""Organizations"" (not ""Organizations (count)""), alongside Name, Email, Blocked {OBSERVED}
[GRID] toolbar shows Refresh, Add, Delete, a search input with placeholder ""Search by name or email"", and a Show/Hide Columns control {OBSERVED}
[GRID] at least 1 row is visible (seeded reps exist) {OBSERVED}","[CONSOLE] no sales-rep-app-origin JS errors — a pre-existing PLATFORM console 500 (Orders dashboardStatistics) and other-apps logo.svg 404s are known env noise on this build, NOT attributable to the sales-rep app; exclude them from the pass/fail check
[NETWORK] no 4xx/5xx loading the embedded app or its list request (same platform-noise exclusion as above)","iframe fails to load / blank workspace panel; grid stuck loading >5s; a documented tab or column is missing; a sales-rep-app-origin console TypeError (not the documented platform noise)","none (read-only)","VCST-5304, DOM-verified vcst-qa (SalesRep 3.1000.0-pr-2-8c40 / Platform 3.1044.0), TLC-2026-07-17-1200","Reviewed"
"SR-EMB-002","Create New Sales Rep (Add → Save) Appears in the Sales Reps List","Backend > Sales Rep > Admin > Sales Reps > CRUD","Critical","PROPOSED-BL-SR-ADMIN-CRUD, PROPOSED-BL-SR-ADMIN-ROLE","","Admin logged in to Backend at {{BACK_URL}} as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. No prior AGENT-TEST-SR-Admin-{{RUN_ID}} rep exists. DOM-VERIFIED (2026-07-17, SalesRep 3.1000.0-pr-2-8c40): the Add flow is a SINGLE SCROLLING BLADE with sections Account / Served organizations / Profile / Addresses (not a separate ""Account tab""). Store is a REQUIRED field (e.g. select {{store}}=B2B-store) — Save is blocked without it. INVESTIGATE (not asserted below — low-confidence, single observation, needs a clean re-test before treating as a defect): a possible auto-save-on-Store-select before the explicit Save click was observed once during this pass.","back_url={{BACK_URL}}, email=AGENT-TEST-SR-Admin-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}, first_name=AGENT-TEST-SR-Admin, last_name={{RUN_ID}}, store={{STORE_ID}}","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click the 'Sales Reps' tab
[WAIT] grid loaded
[ACT] click 'Add' in the toolbar
[BLADE] new rep detail blade opens (single scrolling blade — Account / Served organizations / Profile / Addresses sections)
[ACT] select 'Store': {{store}}
[ACT] fill 'Email': {{email}}
[ACT] fill 'Password': {{password}}
[ACT] select 'Sales Rep role': Sales Representative
[SAVE] click 'Save'
[WAIT] blade closes / success notification shown","[TOAST] a success notification confirms the rep was created {OBSERVED}
[GRID] Sales Reps grid, after Refresh, contains a row with Email = {{email}} {OBSERVED}
[GRID] that row's Organizations count = 0 and Blocked = not blocked (new rep serves no orgs yet) {OBSERVED}","[API] the new rep is resolvable — GET the created security account/member by {{email}} returns 200 (mirrors the contact shape in 050m SR-GQL-001)
[CONSOLE] no JS errors during Save","Save appears to succeed but no toast shown; new row absent after Refresh; 4xx/5xx on the create request; Save succeeds without a Store selected (Store should be required)","Delete the AGENT-TEST-SR-Admin-{{RUN_ID}} rep via the grid's Delete action (select row > Delete > confirm)","VCST-5304, DOM-verified vcst-qa (SalesRep 3.1000.0-pr-2-8c40 / Platform 3.1044.0), TLC-2026-07-17-1200","Reviewed"
"SR-EMB-003","Sales Rep Role Is Pre-Selected and Cannot Be Cleared via the UI (Required-Field Gate Not Reachable on This Build)","Backend > Sales Rep > Admin > Sales Reps > CRUD","Critical","PROPOSED-BL-SR-ADMIN-ROLE","","Admin logged in to Backend at {{BACK_URL}} as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. DOM-VERIFIED (2026-07-17, SalesRep 3.1000.0-pr-2-8c40): 'Sales Rep role' is the ONLY role available and is PRE-SELECTED by default on a new rep blade; attempting to clear it re-defaults back to 'Sales Representative' rather than leaving it empty. As a result, an empty-role Save is UNREACHABLE via the UI on this build — Save stays enabled regardless. The originally-planned required-field gate (this case as first authored) cannot be exercised until either a second role is added or the field becomes genuinely clearable. Kept Draft pending a build where the gate is reachable.","back_url={{BACK_URL}}","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click the 'Sales Reps' tab
[ACT] click 'Add' in the toolbar
[BLADE] new rep detail blade opens
[ACT] observe the 'Sales Rep role' field's default value
[ACT] attempt to clear/deselect 'Sales Rep role'
[WAIT] field state after the clear attempt","[FORM] 'Sales Rep role' defaults to ""Sales Representative"" (the only available role) on a new rep blade, pre-selected without user action {OBSERVED}
[FORM] attempting to clear 'Sales Rep role' re-defaults it back to ""Sales Representative"" rather than leaving it empty {OBSERVED}
[FORM] verify whether 'Save' remains enabled/clickable throughout, since an empty-role state is unreachable via the UI on this build {HYPOTHESIS}","none","the role field CAN be left empty via some UI path not yet found (would make the original required-field case exercisable — re-test as originally authored if so); Save is blocked even though a role IS selected (would be a different, new defect)","none (read-only) — no Save was clicked","VCST-5304","Draft"
"SR-EMB-004","Email Login Is Required and Must Be Unique","Backend > Sales Rep > Admin > Sales Reps > CRUD","Critical","PROPOSED-BL-SR-ADMIN-CRUD","","Admin logged in to Backend at {{BACK_URL}} as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. @td(SR_REP_PRIMARY.email) already exists as a seeded rep's login — reused here only to prove the uniqueness check, never mutated. DOM-VERIFIED (2026-07-17, SalesRep 3.1000.0-pr-2-8c40): both behaviors confirmed live — blank-email Save blocked client-side; duplicate-email Save rejected server-side. PRODUCT BUG NOTE: the duplicate-email rejection currently surfaces as HTTP 500 with a generic error message instead of a clean 4xx (e.g. 409 Conflict) — logged for a separate fix; does not affect this case's PASS criteria (rejected + no duplicate created).","back_url={{BACK_URL}}, existing_email=@td(SR_REP_PRIMARY.email), password={{TEST_USER_PASSWORD}}","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add'
[BLADE] new rep detail blade opens
[ACT] leave 'Email' blank
[ACT] select 'Sales Rep role': Sales Representative
[SAVE] click 'Save'
[WAIT] validation error observed
[ACT] fill 'Email': {{existing_email}}
[ACT] fill 'Password': {{password}}
[SAVE] click 'Save' again","[FORM] with a blank Email, Save is blocked with a required-field error {OBSERVED}
[FORM] with Email = {{existing_email}} (already in use by SR_REP_PRIMARY), Save is rejected — no duplicate account is created (the error currently surfaces as an HTTP 500 + generic message, not a clean 4xx — tracked as a product bug, see Cross_Layer_Checks; this case passes on the ""rejected / no duplicate created"" outcome regardless of status code) {OBSERVED}
[BLADE] no second account is created for {{existing_email}} {OBSERVED}","[API] no duplicate security account is created for {{existing_email}} (rep count for that email stays 1); the duplicate-email request currently returns HTTP 500 (product bug — should be a 4xx) rather than a clean conflict status
[CONSOLE] no unhandled JS error","blank-email Save succeeds; a duplicate account is created for an already-used email; SR_REP_PRIMARY's own account is altered by this attempt","none — no persisted mutation expected; if a duplicate was created, delete it via the grid's Delete action","VCST-5304, DOM-verified vcst-qa (SalesRep 3.1000.0-pr-2-8c40 / Platform 3.1044.0), TLC-2026-07-17-1200","Reviewed"
"SR-EMB-005","Assign Served Organization → Storefront Buyer /company/sales-reps Reflects the New Rep","Backend > Sales Rep > Admin > Sales Reps > Served Organizations","Critical","PROPOSED-BL-SR-ADMIN-ASSIGN, PROPOSED-BL-SR-SCOPE","ECL-14.3","Admin logged in to Backend as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. A throwaway rep AGENT-TEST-SR-Admin-Assign-{{RUN_ID}} is created fresh in Steps (does not reuse a seeded SR_REP_* fixture) and is not currently served by any organization. ACME_BUYER is a corporate member of @td(ORG_ACME.id) — mirrors 090 SR-FE-MSR-001/004.","back_url={{BACK_URL}}, front_url={{FRONT_URL}}, email=AGENT-TEST-SR-Admin-Assign-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}, org=@td(ORG_ACME.name)","--- ADMIN ---
[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add' > fill 'Email': {{email}} > fill 'Password': {{password}} > select 'Sales Rep role': Sales Representative
[SAVE] click 'Save'
[ACT] reopen the new rep's detail blade > go to 'Served organizations'
[ACT] add {{org}} to the served-organizations multi-select
[SAVE] click 'Save'
--- STOREFRONT ---
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ACME_BUYER]
[NAV] {{FRONT_URL}}/company/sales-reps
[WAIT] table rows loaded","[GRID] (Admin) the rep's Organizations count reads 1 after Save {OBSERVED}
[DOM] (Storefront) a row for AGENT-TEST-SR-Admin-Assign-{{RUN_ID}} is visible in ACME_BUYER's Sales Reps table (mirrors 090 SR-FE-MSR-004) {SPEC}","[STOREFRONT] the admin-side served-organization assignment is the write path that 090's customerSalesReps read already proves is org-scoped (SR-FE-MSR-005/006, SR-GQL-001) — this case is the missing write-side half
[API] customerSalesReps for ACME_BUYER includes the new rep's id after the assignment (mirrors 050m SR-GQL-001)
[CONSOLE] no JS errors on either layer","Organizations count stays 0 after Save; the new rep never appears on the storefront buyer list; search-index lag beyond 60s (ECL-14.2) before it appears","--- ADMIN --- Delete the AGENT-TEST-SR-Admin-Assign-{{RUN_ID}} rep via the grid's Delete action (removes the org assignment with it)","VCST-5409, VCST-5304, VCST-5293, DOM-verified vcst-qa (SalesRep 3.1000.0-pr-2-8c40 / Platform 3.1044.0), TLC-2026-07-17-1200","Reviewed"
"SR-EMB-006","Unassign Served Organization → Rep's My-Customers Count and Buyer List Drop It","Backend > Sales Rep > Admin > Sales Reps > Served Organizations","Critical","PROPOSED-BL-SR-ADMIN-ASSIGN, PROPOSED-BL-SR-SCOPE","ECL-14.3","Admin logged in to Backend as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. A throwaway rep AGENT-TEST-SR-Admin-Unassign-{{RUN_ID}} is created fresh in Steps and assigned to serve @td(ORG_ACME.id) before the unassign action under test — does not touch seeded SR_REP_* fixtures.","back_url={{BACK_URL}}, front_url={{FRONT_URL}}, email=AGENT-TEST-SR-Admin-Unassign-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}, org=@td(ORG_ACME.name)","--- ADMIN (setup) ---
[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add' > fill 'Email': {{email}} > fill 'Password': {{password}} > select 'Sales Rep role': Sales Representative > add {{org}} to Served organizations
[SAVE] click 'Save'
[GRID] confirm the new rep's Organizations count = 1
--- ADMIN (action under test) ---
[ACT] reopen the rep's detail blade > 'Served organizations' > remove {{org}} from the multi-select
[SAVE] click 'Save'
--- STOREFRONT ---
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ACME_BUYER]
[NAV] {{FRONT_URL}}/company/sales-reps
[WAIT] table rows loaded","[GRID] (Admin) the rep's Organizations count reads 0 after Save {OBSERVED}
[DOM] (Storefront) no row for AGENT-TEST-SR-Admin-Unassign-{{RUN_ID}} appears in ACME_BUYER's Sales Reps table {SPEC}","[API] customerSalesReps for ACME_BUYER no longer includes the throwaway rep's id (mirrors 050m SR-GQL-012)
[API] salesRepCustomers for the unassigned rep returns totalCount=0 for @td(ORG_ACME.id) once the served-org is removed (the rep-side My-Customers/badge drop this drives — see 089 SR-FE-013/021 for the rendered empty-state contract)
[CONSOLE] no JS errors","Organizations count stays 1 after Save; the rep still appears in ACME_BUYER's list; the rep's own My Customers still shows ORG_ACME","--- ADMIN --- Delete the AGENT-TEST-SR-Admin-Unassign-{{RUN_ID}} rep via the grid's Delete action","VCST-5409, VCST-5304, VCST-5293, VCST-5469","Draft"
"SR-EMB-007","Block Rep → Blocked Column Flips and Rep Is Excluded from the Buyer's Sales Reps List","Backend > Sales Rep > Admin > Sales Reps > Block","Critical","PROPOSED-BL-SR-ADMIN-BLOCK, PROPOSED-BL-SR-STATE","ECL-14.3","Admin logged in as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. A throwaway rep AGENT-TEST-SR-Admin-Block-{{RUN_ID}} is created fresh in Steps, assigned to serve @td(ORG_ACME.id) — mirrors 090 SR-FE-MSR-006's fixture role (SR_REP_BLOCKED) without touching that seeded fixture. DOM-VERIFIED (2026-07-17, SalesRep 3.1000.0-pr-2-8c40): the Blocked Sales Reps tab renders a coming-soon stub on this build (""This view is coming soon."") — Block is confirmed via the Sales Reps tab's Blocked column and the storefront buyer list instead; the Blocked-tab confirmation itself is deferred until that tab ships.","back_url={{BACK_URL}}, front_url={{FRONT_URL}}, email=AGENT-TEST-SR-Admin-Block-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}, org=@td(ORG_ACME.name)","--- ADMIN (setup) ---
[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add' > fill 'Email': {{email}} > fill 'Password': {{password}} > select 'Sales Rep role': Sales Representative > add {{org}} to Served organizations
[SAVE] click 'Save'
--- ADMIN (action under test) ---
[ACT] reopen the rep's detail blade
[ACT] click 'Block'
[WAIT] confirmation shown / blade reflects blocked state
[NAV] Sales Reps tab (if not already there)
[WAIT] grid shows the rep row with its Blocked column updated
--- STOREFRONT ---
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ACME_BUYER]
[NAV] {{FRONT_URL}}/company/sales-reps
[WAIT] table rows loaded","[GRID] (Admin) the Sales Reps tab's Blocked column/indicator for this rep now shows blocked {OBSERVED}
[DOM] (Storefront) no row for AGENT-TEST-SR-Admin-Block-{{RUN_ID}} appears in ACME_BUYER's Sales Reps table {OBSERVED}","[API] customerSalesReps for ACME_BUYER excludes the now-blocked rep's id (mirrors 050m SR-GQL-007, already proven read-side — this is the missing write-trigger proof) and 090 SR-FE-MSR-006
[CONSOLE] no JS errors on either layer","rep still appears in ACME_BUYER's list after blocking; Block action has no visible effect on the Blocked column; rep is fully deleted instead of blocked","--- ADMIN --- Delete the AGENT-TEST-SR-Admin-Block-{{RUN_ID}} rep via the grid's Delete action","VCST-5409, VCST-5304, VCST-5293, DOM-verified vcst-qa (SalesRep 3.1000.0-pr-2-8c40 / Platform 3.1044.0), TLC-2026-07-17-1200","Reviewed"
"SR-EMB-008","Unblock Rep → Blocked Column Reverts and Rep Reappears in the Buyer's List","Backend > Sales Rep > Admin > Sales Reps > Block","High","PROPOSED-BL-SR-ADMIN-BLOCK","","Admin logged in as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. This case creates and blocks its own throwaway rep AGENT-TEST-SR-Admin-Unblock-{{RUN_ID}} in Steps (setup block), independent of any other case's fixture, so it can run in isolation. DOM-VERIFIED (2026-07-17, SalesRep 3.1000.0-pr-2-8c40): the Blocked Sales Reps tab renders a coming-soon stub on this build — Block/Unblock is confirmed via the Sales Reps tab's Blocked column and the storefront buyer list, not via navigating to that tab. The Blocked-tab confirmation itself is deferred until that tab ships.","back_url={{BACK_URL}}, front_url={{FRONT_URL}}, email=AGENT-TEST-SR-Admin-Unblock-{{RUN_ID}}@yopmail.com, password={{TEST_USER_PASSWORD}}, org=@td(ORG_ACME.name)","--- ADMIN (setup: create, assign, block) ---
[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[ACT] click 'Add' > fill 'Email': {{email}} > fill 'Password': {{password}} > select 'Sales Rep role': Sales Representative > add {{org}} to Served organizations
[SAVE] click 'Save'
[ACT] reopen the rep's detail blade > click 'Block'
[WAIT] Sales Reps tab's Blocked column for this rep updates to reflect blocked
--- ADMIN (action under test) ---
[ACT] locate the rep's row on the Sales Reps tab (Blocked Sales Reps tab is a coming-soon stub on this build — the toggle is done from the Sales Reps tab itself)
[ACT] reopen the rep's detail blade > click 'Block' again to toggle it off (unblock)
[WAIT] confirmation shown
--- STOREFRONT ---
[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ACME_BUYER]
[NAV] {{FRONT_URL}}/company/sales-reps
[WAIT] table rows loaded","[GRID] (Admin) the Sales Reps tab's Blocked column/indicator for this rep reverts to not-blocked after the toggle {OBSERVED}
[DOM] (Storefront) a row for AGENT-TEST-SR-Admin-Unblock-{{RUN_ID}} is visible again in ACME_BUYER's Sales Reps table {OBSERVED}","[API] customerSalesReps for ACME_BUYER includes the rep's id again after unblocking
[CONSOLE] no JS errors","the Blocked column/indicator does not revert after the toggle; rep does not reappear on the buyer's storefront list","--- ADMIN --- Delete the AGENT-TEST-SR-Admin-Unblock-{{RUN_ID}} rep via the grid's Delete action","VCST-5409, VCST-5304, DOM-verified vcst-qa (SalesRep 3.1000.0-pr-2-8c40 / Platform 3.1044.0), TLC-2026-07-17-1200","Reviewed"
"SR-EMB-009","Blocked Sales Reps Tab Shows Only Blocked Reps","Backend > Sales Rep > Admin > Tabs","High","PROPOSED-BL-SR-ADMIN-TABS","","Admin logged in as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. SR_REP_BLOCKED is seeded and blocked; SR_REP_PRIMARY is seeded and active — positive control. Feature not shipped on pr-2-8c40 (coming-soon stub) — re-verify when the tab ships.","back_url={{BACK_URL}}, blocked_name=@td(SR_REP_BLOCKED.fullName), active_name=@td(SR_REP_PRIMARY.fullName)","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[NAV] Blocked Sales Reps tab
[WAIT] grid loaded","[GRID] every row shown is a blocked rep, including {{blocked_name}} {OBSERVED}
[GRID] {{active_name}} (an active rep) does NOT appear on this tab {OBSERVED}","none","an active (non-blocked) rep appears on the Blocked tab; the known blocked rep is missing from it","none (read-only)","VCST-5304","Draft"
"SR-EMB-010","Not Assigned Sales Reps Tab Shows Zero-Org Reps","Backend > Sales Rep > Admin > Tabs","High","PROPOSED-BL-SR-ADMIN-TABS","","Admin logged in as {{ADMIN_EMAIL}}/{{ADMIN_PASSWORD}}. SR_REP_NOCUSTOMERS is seeded holding sales-rep:access but serving zero orgs. SR_REP_PRIMARY (4 served orgs) is the positive control. Feature not shipped on pr-2-8c40 (coming-soon stub) — re-verify when the tab ships.","back_url={{BACK_URL}}, unassigned_name=@td(SR_REP_NOCUSTOMERS.fullName), assigned_name=@td(SR_REP_PRIMARY.fullName)","[NAV] {{BACK_URL}}/#!/workspace/embedded-app/vc-sales-rep
[NAV] Not assigned Sales Reps tab
[WAIT] grid loaded","[GRID] {{unassigned_name}} (0 served orgs) appears on this tab {OBSERVED}
[GRID] {{assigned_name}} (4 served orgs) does NOT appear on this tab {OBSERVED}","none","a rep with >=1 served org appears on this tab; the known zero-org rep is missing from it","none (read-only)","VCST-5304","Draft"
