ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
PAY-CS-001,CyberSource - Valid Form Submission,CyberSource > Positive,Critical,BL-PAY-004,"ECL-14.6","- Logged in as registered user
- Cart has at least one item
- CyberSource payment processor configured and active
- Browser DevTools Network tab open","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER=4622943127013705, TEST_CARD_EXP=09/2029, TEST_CARD_CVV=838","[NAV] Navigate to {{FRONT_URL}}/cart — CyberSource payment form is on cart page
[WAIT] Wait for CyberSource payment section to render with iframe fields
[ACT] Select 'Bank card (CyberSource)' payment method if not pre-selected
[ACT] Click into 'Card Number' iframe field; fill '4622943127013705'
[ACT] Fill 'Cardholder Name' field with 'John Smith'
[ACT] Fill 'Expiry Date' field with '09/2029'
[ACT] Fill 'CVV' field with '838'
[ASSERT] All fields accept input without validation errors
[ACT] Click 'Place Order'
[WAIT] Wait for order processing response","[DOM] All payment fields accept input without inline error messages
[STATE] No validation error banners visible before submission
[NAV] After successful submission user is navigated to order confirmation page
[DOM] Order confirmation page displays order number","[API] Verify createOrderFromCart GraphQL mutation response has no errors[] entries
[NETWORK] Confirm payment token (not raw card number) sent in request payload
[ADMIN] Confirm order appears in admin Orders list with status reflecting payment attempt","Order confirmation page not reached; inline validation error appears unexpectedly; network request contains raw card number","Cancel order via admin if order was created","VCST-3387 TC-POS-001",Manual
PAY-CS-002,CyberSource - Special Characters in Cardholder Name,CyberSource > Positive,Medium,BL-PAY-004,"ECL-14.6","- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER=4622943127013705, TEST_CARD_EXP=09/2029, TEST_CARD_CVV=838","[NAV] Navigate to {{FRONT_URL}}/cart and confirm CyberSource payment form is visible
[ACT] Fill 'Card Number' with '4622943127013705'; fill 'Expiry Date' with '09/2029'; fill 'CVV' with '838'
[ACT] Fill 'Cardholder Name' with 'Mary-Jane O''Connor'
[ASSERT] Name field accepts hyphen and apostrophe without error
[ACT] Clear 'Cardholder Name'; fill with 'José García'
[ASSERT] Accented characters accepted
[ACT] Clear 'Cardholder Name'; fill with 'Van Der Berg'
[ASSERT] Multiple spaces accepted
[ACT] Clear 'Cardholder Name'; fill with 'Smith Jr.'
[ASSERT] Period suffix accepted
[ACT] Click 'Place Order' with final name value","[DOM] Cardholder Name field accepts hyphen, apostrophe, accented chars, periods without stripping or error
[STATE] No validation error triggered for any of the tested name formats
[NAV] Order submission proceeds after valid name entry","[API] createOrderFromCart GraphQL mutation errors[] is empty
[NETWORK] Cardholder name transmitted correctly in tokenization request","Name field strips special characters silently; validation error fires on valid international name characters; form refuses to submit with accented characters","Cancel order via admin if order was created","VCST-3387 TC-POS-004",Manual
PAY-CS-003,CyberSource - Expiry Date Format Variations,CyberSource > Positive,Medium,BL-PAY-004,"ECL-14.6","- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER=4622943127013705, TEST_CARD_CVV=838","[NAV] Navigate to {{FRONT_URL}}/cart and confirm CyberSource payment form is visible
[ACT] Fill 'Card Number' with '4622943127013705'; fill 'Cardholder Name' with 'John Smith'; fill 'CVV' with '838'
[ACT] Click 'Expiry Date' field; type '092029' (no slash)
[ASSERT] Field auto-formats to '09/2029'
[ACT] Clear field; type '09/2029' (with slash)
[ASSERT] Value '09/2029' accepted as-is
[ACT] Clear field; type '09 / 2029' (with spaces)
[ASSERT] Field normalizes to '09/2029' or accepts padded format
[ASSERT] All three input styles display as MM/YYYY","[FORMAT] Expiry date field displays value as MM/YYYY regardless of input style
[DOM] No validation error shown for any accepted format variant
[STATE] Form is submittable after each valid format entry","[API] createOrderFromCart GraphQL mutation errors[] is empty on submission","Field rejects valid expiry formats; auto-formatting breaks cursor position causing incorrect value; MM/YYYY display not achieved","Cancel order via admin if order was created","VCST-3387 TC-POS-005",Manual
PAY-CS-004,CyberSource - Invalid Card Number Rejected,CyberSource > Negative,Critical,BL-PAY-001,"ECL-9.1","- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/cart and confirm CyberSource payment form is visible
[ACT] Click into 'Card Number' iframe field; fill '1234567890123456'
[ACT] Fill 'Cardholder Name' with 'John Smith'; fill 'Expiry Date' with '09/2029'; fill 'CVV' with '838'
[ACT] Click 'Place Order'
[ASSERT] Inline validation error appears on or near 'Card Number' field
[ASSERT] Error text contains 'Invalid card number' or equivalent
[ASSERT] Form does not submit; user remains on cart page","[DOM] Validation error message visible adjacent to 'Card Number' field
[STATE] 'Place Order' button does not trigger order creation
[NAV] User remains on {{FRONT_URL}}/cart — no navigation to confirmation","[API] No createOrderFromCart GraphQL mutation is fired
[CONSOLE] No unhandled JS exceptions from iframe communication","No error shown for clearly invalid card; form submits with Luhn-failing card number; user is navigated away from cart page","none — no order created","VCST-3387 TC-NEG-001",Manual
PAY-CS-005,CyberSource - Empty Card Number Blocked,CyberSource > Negative,Critical,BL-PAY-001,"ECL-9.1","- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/cart and confirm CyberSource payment form is visible
[ACT] Leave 'Card Number' field empty
[ACT] Fill 'Cardholder Name' with 'John Smith'; fill 'Expiry Date' with '09/2029'; fill 'CVV' with '838'
[ACT] Click 'Place Order'
[ASSERT] Inline error appears on 'Card Number' field with text 'Card number required' or equivalent
[ASSERT] Field border or highlight indicates error state
[ASSERT] Form does not submit","[DOM] 'Card Number' field shows required-field error message
[STATE] Form submission blocked; no spinner or loading state triggered
[NAV] User remains on {{FRONT_URL}}/cart","[API] No createOrderFromCart GraphQL mutation fired
[CONSOLE] No JS errors from iframe","No error message for blank card; form submits and order created without card number; error message missing but field highlighted only","none — no order created","VCST-3387 TC-NEG-002",Manual
PAY-CS-006,CyberSource - Empty Cardholder Name Blocked,CyberSource > Negative,Critical,BL-PAY-001,"ECL-9.1","- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart
- Known bug: form may submit without name (document outcome)","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER=4622943127013705, TEST_CARD_EXP=09/2029, TEST_CARD_CVV=838","[NAV] Navigate to {{FRONT_URL}}/cart and confirm CyberSource payment form is visible
[ACT] Fill 'Card Number' with '4622943127013705'; fill 'Expiry Date' with '09/2029'; fill 'CVV' with '838'
[ACT] Leave 'Cardholder Name' field empty
[ACT] Click 'Place Order'
[ASSERT] Inline validation error appears on 'Cardholder Name' with text 'Name required' or equivalent
[ASSERT] Form does not submit
[KEY] NOTE: Known bug — form may submit without name; document actual behavior and compare against expected","[DOM] 'Cardholder Name' field shows required validation error
[STATE] Form blocked from submission when name is empty
[NAV] User remains on {{FRONT_URL}}/cart","[API] No createOrderFromCart GraphQL mutation fired if validation blocks submission; if bug present and mutation fires — check errors[]
[CONSOLE] No unhandled exceptions","Form submits successfully without cardholder name (known bug — document if still present); no error message displayed; field not highlighted","Cancel order via admin if order was placed despite empty name (known bug path)","VCST-3387 TC-NEG-003",Manual
PAY-CS-007,CyberSource - Expired Card Rejected,CyberSource > Negative,Critical,BL-PAY-001,"ECL-9.1","- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER=4622943127013705, TEST_CARD_CVV=838","[NAV] Navigate to {{FRONT_URL}}/cart and confirm CyberSource payment form is visible
[ACT] Fill 'Card Number' with '4622943127013705'; fill 'Cardholder Name' with 'John Smith'; fill 'CVV' with '838'
[ACT] Fill 'Expiry Date' with '01/2020' (past date)
[ACT] Click 'Place Order'
[ASSERT] Inline error appears on 'Expiry Date' field with text 'Card expired' or equivalent
[ASSERT] Form does not submit","[DOM] 'Expiry Date' field shows expiry validation error message
[STATE] Submission blocked; no order processing initiated
[NAV] User remains on {{FRONT_URL}}/cart","[API] No createOrderFromCart GraphQL mutation fired
[CONSOLE] No JS errors","Expired date accepted without error; form submits with past expiry; error message missing or generic","none — no order created","VCST-3387 TC-NEG-004",Manual
PAY-CS-008,CyberSource - Empty Expiry Date Blocked,CyberSource > Negative,Critical,BL-PAY-001,"ECL-9.1","- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER=4622943127013705, TEST_CARD_CVV=838","[NAV] Navigate to {{FRONT_URL}}/cart and confirm CyberSource payment form is visible
[ACT] Fill 'Card Number' with '4622943127013705'; fill 'Cardholder Name' with 'John Smith'; fill 'CVV' with '838'
[ACT] Leave 'Expiry Date' empty
[ACT] Click 'Place Order'
[ASSERT] Inline error on 'Expiry Date' field with text 'Expiry required' or equivalent
[ASSERT] Form does not submit","[DOM] 'Expiry Date' field shows required-field error
[STATE] Form submission blocked
[NAV] User remains on {{FRONT_URL}}/cart","[API] No createOrderFromCart GraphQL mutation fired
[CONSOLE] No JS errors from iframe","No error for blank expiry; form submits without expiry date; field highlighted but no readable error text","none — no order created","VCST-3387 TC-NEG-005",Manual
PAY-CS-009,CyberSource - Invalid Expiry Month Rejected,CyberSource > Negative,High,BL-PAY-001,"ECL-9.1","- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER=4622943127013705, TEST_CARD_CVV=838","[NAV] Navigate to {{FRONT_URL}}/cart and confirm CyberSource payment form is visible
[ACT] Fill 'Card Number' with '4622943127013705'; fill 'Cardholder Name' with 'John Smith'; fill 'CVV' with '838'
[ACT] Fill 'Expiry Date' with '13/2029' (invalid month 13)
[ACT] Click 'Place Order'
[ASSERT] Validation error appears; month 13 rejected
[ACT] Clear field; fill '00/2029' (invalid month 00); click 'Place Order'
[ASSERT] Month 00 rejected with error
[ACT] Clear field; fill '99/2029'; click 'Place Order'
[ASSERT] Month 99 rejected with clear error message","[DOM] 'Expiry Date' field shows validation error for each out-of-range month value
[STATE] Form blocked for all three invalid month inputs
[NAV] User remains on {{FRONT_URL}}/cart for all attempts","[API] No createOrderFromCart GraphQL mutation fired for any invalid expiry
[CONSOLE] No unhandled errors","Any invalid month value accepted; field only validates on one boundary but not others; error message absent or unclear","none — no order created","VCST-3387 TC-NEG-006",Manual
PAY-CS-010,CyberSource - Invalid CVV Length Rejected,CyberSource > Negative,High,BL-PAY-001,"ECL-9.1","- Logged in as registered user
- Cart has at least one item
- CyberSource payment form visible on {{FRONT_URL}}/cart","FRONT_URL={{FRONT_URL}}, USER_EMAIL={{USER_EMAIL}}, USER_PASSWORD={{USER_PASSWORD}}, TEST_CARD_NUMBER=4622943127013705, TEST_CARD_EXP=09/2029","[NAV] Navigate to {{FRONT_URL}}/cart and confirm CyberSource payment form is visible
[ACT] Fill 'Card Number' with '4622943127013705'; fill 'Cardholder Name' with 'John Smith'; fill 'Expiry Date' with '09/2029'
[ACT] Fill 'CVV' with '12' (only 2 digits); click 'Place Order'
[ASSERT] Error on 'CVV' field: 'CVV must be 3 digits' or equivalent; form does not submit
[ACT] Clear 'CVV'; fill '12345' (5 digits); click 'Place Order'
[ASSERT] CVV field enforces max length — either rejects entry beyond 4 chars or shows error","[DOM] CVV field shows length validation error for both too-short and too-long inputs
[STATE] Form blocked for invalid CVV lengths
[NAV] User remains on {{FRONT_URL}}/cart","[API] No createOrderFromCart GraphQL mutation fired
[CONSOLE] No unhandled iframe errors","CVV shorter than 3 digits accepted silently; field allows more than 4 characters; length error not shown to user","none — no order created","VCST-3387 TC-NEG-007",Manual
