"ID","Title","Attachments","Expected Result","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","is_converted"
"C410416","Registration form > PERSONAL> general view","","","<ol>
<li>Go to the store anonymously.</li>
</ol>
","Medium","","Registration  (Desktop+Mobile)","0","","Registration  (Desktop+Mobile)","","Step Description:
<ol>
<li>Click the link  from the header Sign up</li>
</ol>
Expected Result:
<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>Click the link  from the header Sign up</li>
</ol>","1"
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Open home page.</li>
<li>On sigh in form click button Sign up</li>
</ol>
Expected Result:
<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>Open home page.</li>
<li>On sigh in form click button Sign up</li>
</ol>",""
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Open the Sign-in page from the header.</li>
<li>On sigh in form click button Sign up</li>
</ol>
Expected Result:
<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>Open the Sign-in page from the header.</li>
<li>On sigh in form click button Sign up</li>
</ol>",""
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Check the register form page.</li>
</ol>
Expected Result:
<ol>
<li>Next elements are presented:</li>
</ol>

<ul>
<li>Header is the same as on usual pages for Anonymous User.</li>
<li>Footer is the same as on usual pages.</li>
<li>Registration form</li>
</ul>","","<ol>
<li>Next elements are presented:</li>
</ol>

<ul>
<li>Header is the same as on usual pages for Anonymous User.</li>
<li>Footer is the same as on usual pages.</li>
<li>Registration form</li>
</ul>","","<ol>
<li>Check the register form page.</li>
</ol>",""
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Check the Registration form</li>
</ol>
Expected Result:
<ol>
<li>The title Registration</li>
<li>Switcher between  Personal and Organization( selected by default) accounts </li>
<li>Registration form contains next fields:</li>
</ol>

<ul>
<li>First name (required) </li>
<li>Last name (required)  </li>
<li>Email (required) </li>
<li>Password (required) with eye icon</li>
<li>Confirm password (required) with eye icon</li>
</ul>

<ol>
<li>Button Register </li>
<li>Tips for creating a strong password </li>
</ol>","","<ol>
<li>The title Registration</li>
<li>Switcher between  Personal and Organization( selected by default) accounts </li>
<li>Registration form contains next fields:</li>
</ol>

<ul>
<li>First name (required) </li>
<li>Last name (required)  </li>
<li>Email (required) </li>
<li>Password (required) with eye icon</li>
<li>Confirm password (required) with eye icon</li>
</ul>

<ol>
<li>Button Register </li>
<li>Tips for creating a strong password </li>
</ol>","","<ol>
<li>Check the Registration form</li>
</ol>",""
"C410417","Create account > PERSONAL user","","","<ol>
<li>Go to the store</li>
<li>Open registration page</li>
<li>Set a flag for account creation for <strong>Personal User</strong> </li>
</ol>
","Medium","","Registration  (Desktop+Mobile)","0","","Registration  (Desktop+Mobile)","","Step Description:
<ol>
<li>Enter necessary information:</li>
</ol>

<ul>
<li>First name</li>
<li>Last name</li>
<li>Email  </li>
<li>Password</li>
<li>Confirm password</li>
</ul>

<ol>
<li>Click the button Sign up (enabled by default)</li>
</ol>
Expected Result:
<ol>
<li>The page with the text """"Registration successfully completed""""</li>
<li>""""Home page"""" button</li>
</ol>","","<ol>
<li>The page with the text ""Registration successfully completed""</li>
<li>""Home page"" button</li>
</ol>","","<ol>
<li>Enter necessary information:</li>
</ol>

<ul>
<li>First name</li>
<li>Last name</li>
<li>Email  </li>
<li>Password</li>
<li>Confirm password</li>
</ul>

<ol>
<li>Click the button Sign up (enabled by default)</li>
</ol>","1"
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Click on the button Home page </li>
</ol>
Expected Result:
<ol>
<li>Home page opens.</li>
</ol>","","<ol>
<li>Home page opens.</li>
</ol>","","<ol>
<li>Click on the button Home page </li>
</ol>",""
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Check the mail</li>
</ol>
Expected Result:
<ol>
<li>Mail that Registration was success received</li>
</ol>","","<ol>
<li>Mail that Registration was success received</li>
</ol>","","<ol>
<li>Check the mail</li>
</ol>",""
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Try to log in as User_1 using email</li>
</ol>
Expected Result:
<ol>
<li>User_1 logged in store</li>
</ol>","","<ol>
<li>User_1 logged in store</li>
</ol>","","<ol>
<li>Try to log in as User_1 using email</li>
</ol>",""
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Go to Admin Environment &gt; Contacts</li>
<li>Check the Contact_1</li>
</ol>
Expected Result:
<ol>
<li>Contact_1 created</li>
</ol>","","<ol>
<li>Contact_1 created</li>
</ol>","","<ol>
<li>Go to Admin Environment &gt; Contacts</li>
<li>Check the Contact_1</li>
</ol>",""
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Go to Admin Environment &gt; Security &gt; Users</li>
<li>Check the User_1</li>
<li>Check account type</li>
</ol>
Expected Result:
<ol>
<li>User_1 created</li>
<li>Account type is <strong>Customer</strong></li>
</ol>","","<ol>
<li>User_1 created</li>
<li>Account type is <strong>Customer</strong></li>
</ol>","","<ol>
<li>Go to Admin Environment &gt; Security &gt; Users</li>
<li>Check the User_1</li>
<li>Check account type</li>
</ol>",""
"C410418","Registration form > ORGANIZATION> general view","","","<ol>
<li>Go to the store anonymously.</li>
</ol>
","Medium","","Registration  (Desktop+Mobile)","0","","Registration  (Desktop+Mobile)","","Step Description:
<ol>
<li>Click the link  from the header Registration</li>
</ol>
Expected Result:
<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>Click the link  from the header Registration</li>
</ol>","1"
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Open home page</li>
<li>On sigh in form click button Register</li>
</ol>
Expected Result:
<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>Open home page</li>
<li>On sigh in form click button Register</li>
</ol>",""
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Open the Sign-in page from the header.</li>
<li>On sigh in form click button Register</li>
</ol>
Expected Result:
<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>User redirect to the registration page </li>
<li>Registration form opens</li>
</ol>","","<ol>
<li>Open the Sign-in page from the header.</li>
<li>On sigh in form click button Register</li>
</ol>",""
"","","","","","","","","","","","","
Step Description:
<ol>
<li>Check the register form page.</li>
</ol>
Expected Result:
<ol>
<li>Next elements are presented:</li>
</ol>

<ul>
<li>Header is the same as on usual pages for Anonymous User.</li>
<li>Footer is the same as on usual pages.</li>
<li>Registration form</li>
</ul>","","<ol>
<li>Next elements are presented:</li>
</ol>

<ul>
<li>Header is the same as on usual pages for Anonymous User.</li>
<li>Footer is the same as on usual pages.</li>
<li>Registration form</li>
</ul>","","<ol>
<li>Check the register form page.</li>
</ol>",""
